ratio_activity,mother,replicate_num,d1_treat,d5_treat,,,,,,,,,,,,,
0.334483791,G91,3,hyp,con,,,,,,,,,,,,,
NA,G91,4,hyp,con,,,,,,,,,,,,,
0.150070239,G91,5,hyp,con,,,,,,,,,,,,,
0.125515765,G91,6,hyp,con,,,,,,,,,,,,,
NA,G91,7,hyp,con,,,,,,,,,,,,,
NA,G91,8,hyp,con,,,,,,,,,,,,,
0.122074789,G91,9,hyp,con,,,,,,,,,,,,,
0.089359894,G91,2,hyp,cross,,,,,,,,,,,,,
0.88043834,G91,3,hyp,cross,,,,,,,,,,,,,
0.084204814,G91,4,hyp,cross,,,,,,,,,,,,,
NA,G91,5,hyp,cross,,,,,,,,,,,,,
NA,G91,6,hyp,cross,,,,,,,,,,,,,
0.552850537,G91,7,hyp,cross,,,,,,,,,,,,,
NA,G91,8,hyp,cross,,,,,,,,,,,,,
NA,G91,9,hyp,cross,,,,,,,,,,,,,
NA,G80,2,cross,NA,,,,,,,,,,,,,
NA,G80,3,cross,NA,,,,,,,,,,,,,
NA,G80,4,cross,NA,,,,,,,,,,,,,
0.767670128,G80,5,cross,NA,,,,,,,,,,,,,
NA,G80,6,cross,NA,,,,,,,,,,,,,
NA,G80,7,cross,NA,,,,,,,,,,,,,
1.249688044,G80,8,cross,NA,,,,,,,,,,,,,
0.32728465,G80,9,cross,NA,,,,,,,,,,,,,
NA,G80,2,cross,cross,,,,,,,,,,,,,
0.372605354,G80,3,cross,cross,,,,,,,,,,,,,
NA,G80,4,cross,cross,,,,,,,,,,,,,
NA,G80,5,cross,cross,,,,,,,,,,,,,
NA,G80,6,cross,cross,,,,,,,,,,,,,
0.102887506,G80,7,cross,cross,,,,,,,,,,,,,
0.503043693,G80,8,cross,cross,,,,,,,,,,,,,
0.54339019,G80,9,cross,cross,,,,,,,,,,,,,
NA,G80,2,cross,con,,,,,,,,,,,,,
NA,G80,3,cross,con,,,,,,,,,,,,,
NA,G80,4,cross,con,,,,,,,,,,,,,
NA,G80,5,cross,con,,,,,,,,,,,,,
NA,G80,6,cross,con,,,,,,,,,,,,,
0.114322617,G80,7,cross,con,,,,,,,,,,,,,
NA,G80,8,cross,con,,,,,,,,,,,,,
5.140841679,G80,9,cross,con,,,,,,,,,,,,,
0.831344038,G80,2,cross,hyp,,,,,,,,,,,,,
0.101814498,G80,3,cross,hyp,,,,,,,,,,,,,
0.397328907,G80,4,cross,hyp,,,,,,,,,,,,,
0.440182796,G80,5,cross,hyp,,,,,,,,,,,,,
NA,G80,6,cross,hyp,,,,,,,,,,,,,
0.512459543,G80,7,cross,hyp,,,,,,,,,,,,,
NA,G80,8,cross,hyp,,,,,,,,,,,,,
0.101963872,G80,9,cross,hyp,,,,,,,,,,,,,
NA,G90,2,cross,NA,,,,,,,,,,,,,
NA,G90,3,cross,NA,,,,,,,,,,,,,
0.6496208,G90,4,cross,NA,,,,,,,,,,,,,
NA,G90,5,cross,NA,,,,,,,,,,,,,
NA,G90,6,cross,NA,,,,,,,,,,,,,
0.875429125,G90,7,cross,NA,,,,,,,,,,,,,
NA,G90,8,cross,NA,,,,,,,,,,,,,
NA,G90,9,cross,NA,,,,,,,,,,,,,
0.585709865,G90,2,cross,cross,,,,,,,,,,,,,
0.870522961,G90,3,cross,cross,,,,,,,,,,,,,
NA,G90,4,cross,cross,,,,,,,,,,,,,
NA,G90,5,cross,cross,,,,,,,,,,,,,
NA,G90,6,cross,cross,,,,,,,,,,,,,
NA,G90,7,cross,cross,,,,,,,,,,,,,
NA,G90,8,cross,cross,,,,,,,,,,,,,
NA,G90,9,cross,cross,,,,,,,,,,,,,
NA,G90,2,cross,con,,,,,,,,,,,,,
NA,G90,3,cross,con,,,,,,,,,,,,,
NA,G90,4,cross,con,,,,,,,,,,,,,
NA,G90,5,cross,con,,,,,,,,,,,,,
NA,G90,6,cross,con,,,,,,,,,,,,,
NA,G90,7,cross,con,,,,,,,,,,,,,
NA,G90,8,cross,con,,,,,,,,,,,,,
NA,G90,9,cross,con,,,,,,,,,,,,,
NA,G90,2,cross,hyp,,,,,,,,,,,,,
NA,G90,3,cross,hyp,,,,,,,,,,,,,
NA,G90,4,cross,hyp,,,,,,,,,,,,,
NA,G90,5,cross,hyp,,,,,,,,,,,,,
NA,G90,6,cross,hyp,,,,,,,,,,,,,
NA,G90,7,cross,hyp,,,,,,,,,,,,,
NA,G90,8,cross,hyp,,,,,,,,,,,,,
NA,G90,9,cross,hyp,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
